timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681595278808,199,HTTP Request compresion 1,200,OK,Thread Group 1-224,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,199,0,1
1681595279013,308,HTTP Request compresion 1,200,OK,Thread Group 1-225,text,true,,196,16521519,2,2,http://localhost:5000/api/tasks,308,0,2
1681595279211,185,HTTP Request compresion 1,200,OK,Thread Group 1-226,text,true,,196,16521519,1,1,http://localhost:5000/api/tasks,184,0,4
1681595279409,146,HTTP Request compresion 1,200,OK,Thread Group 1-227,text,true,,196,16521523,1,1,http://localhost:5000/api/tasks,146,0,1
1681595279604,154,HTTP Request compresion 1,200,OK,Thread Group 1-228,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,154,0,1
1681595279805,156,HTTP Request compresion 1,200,OK,Thread Group 1-229,text,true,,196,16521483,1,1,http://localhost:5000/api/tasks,156,0,1
1681595280004,201,HTTP Request compresion 1,200,OK,Thread Group 1-230,text,true,,196,16521495,2,2,http://localhost:5000/api/tasks,201,0,4
1681595280205,175,HTTP Request compresion 1,200,OK,Thread Group 1-231,text,true,,196,16521519,1,1,http://localhost:5000/api/tasks,175,0,2
1681595280434,339,HTTP Request compresion 1,200,OK,Thread Group 1-232,text,true,,196,16521515,2,2,http://localhost:5000/api/tasks,338,0,3
1681595280608,208,HTTP Request compresion 1,200,OK,Thread Group 1-233,text,true,,196,16521491,2,2,http://localhost:5000/api/tasks,208,0,5
1681595280805,139,HTTP Request compresion 1,200,OK,Thread Group 1-234,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,138,0,2
1681595281005,163,HTTP Request compresion 1,200,OK,Thread Group 1-235,text,true,,196,16521499,1,1,http://localhost:5000/api/tasks,163,0,1
1681595281214,142,HTTP Request compresion 1,200,OK,Thread Group 1-236,text,true,,196,16521519,1,1,http://localhost:5000/api/tasks,142,0,2
1681595281417,126,HTTP Request compresion 1,200,OK,Thread Group 1-237,text,true,,196,16521495,1,1,http://localhost:5000/api/tasks,126,0,1
1681595281629,165,HTTP Request compresion 1,200,OK,Thread Group 1-238,text,true,,196,16521499,1,1,http://localhost:5000/api/tasks,164,0,25
1681595281811,122,HTTP Request compresion 1,200,OK,Thread Group 1-239,text,true,,196,16521503,1,1,http://localhost:5000/api/tasks,122,0,1
1681595282016,112,HTTP Request compresion 1,200,OK,Thread Group 1-240,text,true,,196,16521495,1,1,http://localhost:5000/api/tasks,112,0,1
1681595282215,147,HTTP Request compresion 1,200,OK,Thread Group 1-241,text,true,,196,16521487,1,1,http://localhost:5000/api/tasks,147,0,1
1681595282416,273,HTTP Request compresion 1,200,OK,Thread Group 1-242,text,true,,196,16521483,2,2,http://localhost:5000/api/tasks,273,0,2
1681595282627,204,HTTP Request compresion 1,200,OK,Thread Group 1-243,text,true,,196,16521519,2,2,http://localhost:5000/api/tasks,204,0,1
1681595282820,145,HTTP Request compresion 1,200,OK,Thread Group 1-244,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,145,0,2
1681595283016,135,HTTP Request compresion 1,200,OK,Thread Group 1-245,text,true,,196,16521491,1,1,http://localhost:5000/api/tasks,135,0,2
1681595283218,159,HTTP Request compresion 1,200,OK,Thread Group 1-246,text,true,,196,16521515,1,1,http://localhost:5000/api/tasks,159,0,2
1681595283418,204,HTTP Request compresion 1,200,OK,Thread Group 1-247,text,true,,196,16521491,1,1,http://localhost:5000/api/tasks,204,0,1
1681595283631,272,HTTP Request compresion 1,200,OK,Thread Group 1-248,text,true,,196,16521519,2,2,http://localhost:5000/api/tasks,271,0,2
1681595283818,256,HTTP Request compresion 1,200,OK,Thread Group 1-249,text,true,,196,16521503,2,2,http://localhost:5000/api/tasks,256,0,3
1681595284017,384,HTTP Request compresion 1,200,OK,Thread Group 1-250,text,true,,196,16521519,2,2,http://localhost:5000/api/tasks,383,0,2
1681595284217,290,HTTP Request compresion 1,200,OK,Thread Group 1-251,text,true,,196,16521515,2,2,http://localhost:5000/api/tasks,290,0,3
1681595284417,203,HTTP Request compresion 1,200,OK,Thread Group 1-252,text,true,,196,16521491,1,1,http://localhost:5000/api/tasks,202,0,2
1681595284627,177,HTTP Request compresion 1,200,OK,Thread Group 1-253,text,true,,196,16521511,1,1,http://localhost:5000/api/tasks,176,0,1
1681595284832,525,HTTP Request compresion 1,200,OK,Thread Group 1-254,text,true,,196,16521499,3,3,http://localhost:5000/api/tasks,525,0,3
